audit_group,bucket,method,l2_key,scene_frame,l2_item,family,question_index,question_id,question,answer,predicted,image_path,auto_valid_failure,auto_issue_type,auto_confidence,auto_notes,manual_valid_failure,manual_issue_type,manual_notes
advtest_only_l2_011,advtest_only_l2,advtest,scene-0094_frame7::barrier2|car11|car12,scene-0094_frame7,barrier2|car11|car12,direction_chain,448,53,"From car11's perspective, are barrier2 and car12 in the same direction?",False,"Yes, from car11's perspective, barrier2 and car12 are in the same direction.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0094_frame7_mosaic.jpg,yes,valid_visual_or_structural_error,high,Expected false/no but prediction is affirmative.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=high). Expected false/no but prediction is affirmative.
advtest_only_l2_012,advtest_only_l2,advtest,scene-0013_frame31::car4|car1|car5,scene-0013_frame31,car4|car1|car5,direction_chain,44,44,"From car1's perspective, are car4 and car5 in the same direction?",False,"Yes, from car1's perspective, car4 and car5 are in the same direction.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0013_frame31_mosaic.jpg,yes,valid_visual_or_structural_error,high,Expected false/no but prediction is affirmative.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=high). Expected false/no but prediction is affirmative.
advtest_only_l2_013,advtest_only_l2,advtest,scene-0013_frame31::car4|bus1|ego,scene-0013_frame31,car4|bus1|ego,distance_chain,11,87,"Which object is bus1 nearer to, car4 or ego?",ego,Bus1 is nearer to car4.,E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0013_frame31_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Distance-comparison answer is absent and prediction selects a different candidate.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Distance-comparison answer is absent and prediction selects a different candidate.
advtest_only_l2_014,advtest_only_l2,advtest,scene-0094_frame7::car11|barrier2|car12,scene-0094_frame7,car11|barrier2|car12,distance_chain,447,52,"Which object is barrier2 nearer to, car11 or car12?",car12,Barrier2 is nearer to car11.,E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0094_frame7_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
advtest_only_l2_015,advtest_only_l2,advtest,scene-0094_frame7::car12|car6|ego,scene-0094_frame7,car12|car6|ego,viewpoint_transfer,444,49,"If you face from car12 toward car6, is ego on your left or on your right?",left,"If you face from car12 toward car6, ego is on your right.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0094_frame7_mosaic.jpg,yes,valid_visual_or_structural_error,high,Expected left; prediction says right.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=high). Expected left; prediction says right.
advtest_only_l2_016,advtest_only_l2,advtest,scene-0094_frame7::car12|car4|car9,scene-0094_frame7,car12|car4|car9,converge,401,1,"What car is positioned to the back of barrier2 and also to the back right of car12, and to the back of car9?",car4,"A white car is positioned to the back of barrier2 and also to the back right of car12, and to the back of car9.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0094_frame7_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
advtest_only_l2_017,advtest_only_l2,advtest,scene-0035_frame14::car4|car14|car7,scene-0035_frame14,car4|car14|car7,converge,113,193,"Identify the car located to the back of car7 and to the back of car8, and to the back of car4, and to the front right of car10.",car14,"The car is located to the back of car7 and to the back of car8, and to the back of car4, and to the front right of car10.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0035_frame14_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
advtest_only_l2_018,advtest_only_l2,advtest,scene-0092_frame39::barrier24|barrier5|barrier37,scene-0092_frame39,barrier24|barrier5|barrier37,converge,355,27,"Which barrier can be found to the front of barrier24 and to the front left of pedestrian3, and to the back right of barrier41, and to the front of barrier37, and to the back of barrier18?",barrier5,"The barrier found to the front of barrier24 and to the front left of pedestrian3, and to the back right of barrier41, and to the front of barrier37, and to the back of bar",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0092_frame39_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
advtest_only_l2_019,advtest_only_l2,advtest,scene-0099_frame8::barrier4|barrier10|car18,scene-0099_frame8,barrier4|barrier10|car18,converge,699,101,"There is a barrier to the back of car18 and to the front of car9, and to the back of barrier4, and to the front of barrier8; what is it?",barrier10,It is a construction barrier.,E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0099_frame8_mosaic.jpg,no,answer_granularity_mismatch,medium,Prediction gives the object category/description but omits the required instance id.,no,answer_granularity_mismatch,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction gives the object category/description but omits the required instance id.
advtest_only_l2_020,advtest_only_l2,advtest,scene-0099_frame35::barrier11|barrier1|car11,scene-0099_frame35,barrier11|barrier1|car11,converge,626,10,"There is a barrier to the front of barrier11 and to the front of car11, and to the back left of pedestrian4, and to the back of barrier27; what is it?",barrier1,It is a construction barrier.,E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0099_frame35_mosaic.jpg,no,answer_granularity_mismatch,medium,Prediction gives the object category/description but omits the required instance id.,no,answer_granularity_mismatch,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction gives the object category/description but omits the required instance id.
advtest_only_l2_021,advtest_only_l2,advtest,scene-0036_frame17::barrier21|barrier23|pedestrian1,scene-0036_frame17,barrier21|barrier23|pedestrian1,converge,238,159,"Identify the barrier located to the front of pedestrian1 and to the front of pedestrian9, and to the back right of ego, and to the back of barrier21.",barrier23,"The barrier is located to the front of pedestrian1 and to the front of pedestrian9, and to the back right of ego, and to the back of barrier21.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0036_frame17_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
advtest_only_l2_022,advtest_only_l2,advtest,scene-0092_frame20::car1|truck1|truck3,scene-0092_frame20,car1|truck1|truck3,converge,335,114,"Identify the truck located to the front of car1 and to the front of ego, and to the back of truck3.",truck1,"The truck is located to the front of car1 and to the front of ego, and to the back of truck3.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0092_frame20_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
advtest_only_l2_023,advtest_only_l2,advtest,scene-0104_frame3::car21|car19|car5,scene-0104_frame3,car21|car19|car5,converge,983,92,"Identify the car located to the back of car21 and to the back of car5, and to the front left of car7, and to the back of car17.",car19,"The car located to the back of car21 and to the back of car5, and to the front left of car7, and to the back of car17 is a white van.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0104_frame3_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
advtest_only_l2_024,advtest_only_l2,advtest,scene-0035_frame14::car14|car7|car8,scene-0035_frame14,car14|car7|car8,converge,105,173,"Identify the car located to the front of car14 and to the front of car8, and to the front left of ego, and to the front of car9.",car7,"The car is located to the front of car14 and to the front of car8, and to the front left of ego, and to the front of car9.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0035_frame14_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
advtest_only_l2_025,advtest_only_l2,advtest,scene-0103_frame25::car29|pedestrian3|pedestrian14,scene-0103_frame25,car29|pedestrian3|pedestrian14,converge,893,158,"What pedestrian is positioned to the front of car12 and also to the back of car29, and to the front right of pedestrian13, and to the back left of pedestrian14?",pedestrian3,"The pedestrian is positioned between car12 and car29, and between pedestrian13 and pedestrian14.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0103_frame25_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
advtest_only_l2_026,advtest_only_l2,advtest,scene-0092_frame39::barrier15|barrier24|barrier39,scene-0092_frame39,barrier15|barrier24|barrier39,converge,389,200,"What barrier is positioned to the back of barrier15 and also to the back of barrier39, and to the back of ego, and to the front of barrier33?",barrier24,"A barrier is positioned to the back of barrier15 and also to the back of barrier39, and to the back of ego, and to the front of barrier33.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0092_frame39_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
advtest_only_l2_027,advtest_only_l2,advtest,scene-0092_frame20::car8|car5|ego,scene-0092_frame20,car8|car5|ego,converge,316,115,"There is a car to the back of car8 and to the back left of ego, and to the front of car2, and to the back of car9; what is it?",car5,The car in the image is a white truck.,E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0092_frame20_mosaic.jpg,no,answer_granularity_mismatch,medium,Prediction gives the object category/description but omits the required instance id.,no,answer_granularity_mismatch,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction gives the object category/description but omits the required instance id.
advtest_only_l2_028,advtest_only_l2,advtest,scene-0101_frame25::barrier5|barrier11|car6,scene-0101_frame25,barrier5|barrier11|car6,converge,747,96,"There is a barrier to the back of barrier5 and to the front right of car6, and to the back right of truck2, and to the front of barrier26; what is it?",barrier11,It is a construction barrier.,E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0101_frame25_mosaic.jpg,no,answer_granularity_mismatch,medium,Prediction gives the object category/description but omits the required instance id.,no,answer_granularity_mismatch,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction gives the object category/description but omits the required instance id.
advtest_only_l2_029,advtest_only_l2,advtest,scene-0035_frame39::bus1|pedestrian4|car3,scene-0035_frame39,bus1|pedestrian4|car3,converge,174,22,"There is a pedestrian to the back of bus1 and to the back of car3, and to the back of pedestrian1; what is it?",pedestrian4,It is a bus.,E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0035_frame39_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
advtest_only_l2_030,advtest_only_l2,advtest,scene-0099_frame8::car11|car10|car14,scene-0099_frame8,car11|car10|car14,converge,663,71,"What car is positioned to the front of car11 and also to the front of car14, and to the front of car12, and to the front of ego?",car10,"The car positioned to the front of car11, car14, car12, and ego is a black car.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0099_frame8_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
advtest_only_l2_031,advtest_only_l2,advtest,scene-0099_frame8::car14|car10|ego,scene-0099_frame8,car14|car10|ego,converge,663,71,"What car is positioned to the front of car11 and also to the front of car14, and to the front of car12, and to the front of ego?",car10,"The car positioned to the front of car11, car14, car12, and ego is a black car.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0099_frame8_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
advtest_only_l2_032,advtest_only_l2,advtest,scene-0035_frame14::barrier3|car7|car10,scene-0035_frame14,barrier3|car7|car10,converge,110,131,"Identify the car located to the front of barrier3 and to the front right of car10, and to the front of car9, and to the back of car11.",car7,"The car is located to the front of barrier3 and to the front right of car10, and to the front of car9, and to the back of car11.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0035_frame14_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
advtest_only_l2_033,advtest_only_l2,advtest,scene-0097_frame37::car12|car9|pedestrian6,scene-0097_frame37,car12|car9|pedestrian6,converge,526,11,"What car is to the front left of pedestrian1 and to the back left of pedestrian6, and to the front right of car12?",car9,The car is a BMW.,E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0097_frame37_mosaic.jpg,no,answer_granularity_mismatch,medium,Prediction gives the object category/description but omits the required instance id.,no,answer_granularity_mismatch,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction gives the object category/description but omits the required instance id.
advtest_only_l2_034,advtest_only_l2,advtest,scene-0101_frame25::barrier33|barrier45|pedestrian4,scene-0101_frame25,barrier33|barrier45|pedestrian4,converge,719,107,"Which barrier can be found to the back left of pedestrian4 and to the front of truck2, and to the front right of barrier41, and to the front of barrier33?",barrier45,"The barrier that can be found to the back left of pedestrian4 and to the front of truck2, and to the front right of barrier41, and to the front of barrier33 is a construction barrier",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0101_frame25_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
advtest_only_l2_035,advtest_only_l2,advtest,scene-0103_frame25::car14|car34|pedestrian13,scene-0103_frame25,car14|car34|pedestrian13,converge,884,25,"Identify the car located to the front of car14 and to the front of pedestrian13, and to the back of car27, and to the front left of car19.",car34,"The car is located to the front of car14 and to the front of pedestrian13, and to the back of car27, and to the front left of car19.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0103_frame25_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
advtest_only_l2_036,advtest_only_l2,advtest,scene-0101_frame25::barrier33|barrier10|barrier38,scene-0101_frame25,barrier33|barrier10|barrier38,converge,738,174,"Identify the barrier located to the back left of barrier38 and to the front of truck2, and to the front of barrier33, and to the back right of barrier28.",barrier10,"The barrier is located to the back left of barrier38 and to the front of truck2, and to the front of barrier33, and to the back right of barrier28.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0101_frame25_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
advtest_only_l2_037,advtest_only_l2,advtest,scene-0035_frame39::pedestrian1|pedestrian5|pedestrian6,scene-0035_frame39,pedestrian1|pedestrian5|pedestrian6,converge,183,16,"What pedestrian is positioned to the front of pedestrian1 and also to the front right of pedestrian3, and to the back of pedestrian6?",pedestrian5,"The pedestrian positioned to the front of pedestrian1 and also to the front right of pedestrian3, and to the back of pedestrian6 is pedestrian2.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0035_frame39_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
advtest_only_l2_038,advtest_only_l2,advtest,scene-0104_frame20::car6|pedestrian5|pedestrian25,scene-0104_frame20,car6|pedestrian5|pedestrian25,converge,938,108,"What pedestrian is positioned to the back of bicycle1 and also to the front of car6, and to the front of pedestrian25?",pedestrian5,"The pedestrian is positioned to the back of bicycle1 and also to the front of car6, and to the front of pedestrian25.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0104_frame20_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
advtest_only_l2_039,advtest_only_l2,advtest,scene-0104_frame3::car20|car9|car7,scene-0104_frame3,car20|car9|car7,converge,988,119,"What car is to the back right of car17 and to the back of car20, and to the back of car7, and to the back right of car14?",car9,"The car to the back right of car17 and to the back of car20, and to the back of car7, and to the back right of car14 is a white van.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0104_frame3_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
advtest_only_l2_040,advtest_only_l2,advtest,scene-0092_frame39::barrier11|barrier43|ego,scene-0092_frame39,barrier11|barrier43|ego,converge,385,135,"There is a barrier to the back of barrier38 and to the back left of ego, and to the front of truck1, and to the back of barrier11; what is it?",barrier43,The barrier is a metal fence.,E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0092_frame39_mosaic.jpg,no,answer_granularity_mismatch,medium,Prediction gives the object category/description but omits the required instance id.,no,answer_granularity_mismatch,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction gives the object category/description but omits the required instance id.
advtest_only_l2_041,advtest_only_l2,advtest,scene-0099_frame35::barrier13|barrier2|car14,scene-0099_frame35,barrier13|barrier2|car14,converge,613,131,"Which barrier can be found to the front right of car14 and to the back of pedestrian7, and to the back of barrier21, and to the front of barrier13, and to the back of ego?",barrier2,"The barrier can be found to the front right of car14 and to the back of pedestrian7, and to the back of barrier21, and to the front of barrier13, and to the back of e",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0099_frame35_mosaic.jpg,no,lexical_scoring_artifact,medium,Prediction appears to contain the expected instance id.,no,lexical_scoring_artifact,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction appears to contain the expected instance id.
